"Call Tree","Time (ms)","Level"
"AbstractUserStoreManager.java:1173 org.wso2.carbon.user.core.common.AbstractUserStoreManager.authenticate(String, Object, boolean)","389","30"
"AbstractUserStoreManager.java:1189 java.security.AccessController.doPrivileged(PrivilegedExceptionAction)","389","31"
"AccessController.java (native) org.wso2.carbon.user.core.common.AbstractUserStoreManager$$Lambda$621.run()","389","32"
"org.wso2.carbon.user.core.common.AbstractUserStoreManager.lambda$authenticate$1(String, Object, boolean)","389","33"
"AbstractUserStoreManager.java:1190 org.wso2.carbon.user.core.common.AbstractUserStoreManager.authenticateInternalIteration(String, Object, boolean)","389","34"
"AbstractUserStoreManager.java:1209 org.wso2.carbon.user.core.common.AbstractUserStoreManager.authenticateInternal(String, Object, boolean)","389","35"
"AbstractUserStoreManager.java:1373 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.doPreAuthenticate(String, Object, UserStoreManager)","236","36"
"IdentityMgtEventListener.java:101 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.handleEvent(String, UserStoreManager, String, HashMap)","236","37"
"IdentityMgtEventListener.java:1608 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.handleEvent(String, UserStoreManager, String, String, HashMap)","236","38"
"IdentityMgtEventListener.java:1620 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.handleEvent(String, HashMap, UserStoreManager)","236","39"
"IdentityMgtEventListener.java:1644 org.wso2.carbon.identity.event.services.IdentityEventServiceImpl.handleEvent(Event)","236","40"
"IdentityEventServiceImpl.java:56 org.wso2.carbon.identity.handler.event.account.lock.AccountDisableHandler.handleEvent(Event)","216","41"
"AccountDisableHandler.java:131 org.wso2.carbon.identity.handler.event.account.lock.util.AccountUtil.getConnectorConfig(String, String)","216","42"
"AccountUtil.java:72 org.wso2.carbon.identity.governance.IdentityGovernanceServiceImpl.getConfiguration(String[], String)","216","43"
"IdentityGovernanceServiceImpl.java:123 org.wso2.carbon.identity.governance.IdentityGovernanceServiceImpl.getConfiguration(String)","216","44"
"IdentityGovernanceServiceImpl.java:95 org.wso2.carbon.idp.mgt.IdentityProviderManager.getResidentIdP(String)","216","45"
"IdentityProviderManager.java:324 org.wso2.carbon.idp.mgt.dao.CacheBackedIdPMgtDAO.getIdPByName(Connection, String, int, String)","200","46"
"CacheBackedIdPMgtDAO.java:162 org.wso2.carbon.idp.mgt.dao.IdPManagementDAO.getIdPByName(Connection, String, int, String)","200","47"
"IdPManagementDAO.java:1487 org.wso2.carbon.idp.mgt.dao.IdPManagementDAO.getIDP(Connection, String, int, String, int, String)","200","48"
"IdPManagementDAO.java:1540 org.wso2.carbon.identity.core.util.IdentityDatabaseUtil.getDBConnection(boolean)","160","49"
"IdPManagementDAO.java:1666 org.wso2.carbon.idp.mgt.dao.IdPManagementDAO.getPermissionsAndRoleConfiguration(Connection, String, int, int)","20","49"
"IdPManagementDAO.java:1673 org.wso2.carbon.idp.mgt.dao.IdPManagementDAO.resolveConnectorProperties(List, String)","20","49"
"IdPManagementDAO.java:3650 org.wso2.carbon.idp.mgt.dao.IdPManagementDAO.getConnectorProperties(String)","20","50"
"IdPManagementDAO.java:3686 org.wso2.carbon.identity.piicontroller.connector.ConsentMgtConfigImpl.getDefaultPropertyValues(String)","20","51"
"ConsentMgtConfigImpl.java:169 org.wso2.carbon.identity.piicontroller.connector.ConsentMgtConfigImpl.getConfiguration(String)","20","52"
"ConsentMgtConfigImpl.java:212 org.wso2.carbon.consent.mgt.core.util.ConsentConfigParser.<init>()","20","53"
"ConsentConfigParser.java:54 org.wso2.carbon.consent.mgt.core.util.ConsentConfigParser.buildConfiguration()","20","54"
"IdentityProviderManager.java:355 org.wso2.carbon.core.util.KeyStoreManager.getDefaultPrimaryCertificate()","16","46"
"IdentityEventServiceImpl.java:56 org.wso2.carbon.identity.handler.event.account.lock.AccountLockHandler.handleEvent(Event)","20","41"
"AbstractUserStoreManager.java:1474 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.doPostAuthenticate(String, boolean, UserStoreManager)","96","36"
"IdentityMgtEventListener.java:128 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.handleEvent(String, UserStoreManager, String, HashMap)","64","37"
"IdentityMgtEventListener.java:1608 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.handleEvent(String, UserStoreManager, String, String, HashMap)","64","38"
"IdentityMgtEventListener.java:1620 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.handleEvent(String, HashMap, UserStoreManager)","64","39"
"IdentityMgtEventListener.java:1644 org.wso2.carbon.identity.event.services.IdentityEventServiceImpl.handleEvent(Event)","64","40"
"IdentityEventServiceImpl.java:56 org.wso2.carbon.identity.account.suspension.notification.task.handler.AccountSuspensionNotificationHandler.handleEvent(Event)","64","41"
"AccountSuspensionNotificationHandler.java:53 org.wso2.carbon.identity.account.suspension.notification.task.handler.AccountSuspensionNotificationHandler.isSuspensionNotificationEnabled(Event)","64","42"
"IdentityMgtEventListener.java:115 org.wso2.carbon.identity.governance.listener.IdentityMgtEventListener.isUserExistsInDomain(UserStoreManager, String, boolean)","32","37"
"IdentityMgtEventListener.java:1712 <...> java.lang.ClassLoader.loadClass(String)","32","38"
"AbstractUserStoreManager.java:1419 org.wso2.carbon.user.core.ldap.UniqueIDReadOnlyLDAPUserStoreManager.doAuthenticateWithID(String, String, Object, String)","37","36"
"UniqueIDReadOnlyLDAPUserStoreManager.java:286 org.wso2.carbon.user.core.ldap.ReadOnlyLDAPUserStoreManager.getUserListFromProperties(String, String, String)","33","37"
"UniqueIDReadOnlyLDAPUserStoreManager.java:301 org.wso2.carbon.user.core.ldap.ReadOnlyLDAPUserStoreManager.doAuthenticate(String, Object)","4","37"
"ReadOnlyLDAPUserStoreManager.java:546 org.wso2.carbon.user.core.ldap.ReadOnlyLDAPUserStoreManager.bindAsUser(String, String, Object)","4","38"
"ReadOnlyLDAPUserStoreManager.java:1409 org.wso2.carbon.user.core.ldap.LDAPConnectionContext.getContextWithCredentials(String, Object)","4","39"
"LDAPConnectionContext.java:582 org.wso2.carbon.user.core.ldap.LDAPConnectionContext.getContextForEnvironmentVariables(Hashtable)","4","40"
"LDAPConnectionContext.java:598 org.wso2.carbon.user.core.ldap.LDAPConnectionContext.getLdapContext(Hashtable, Control[])","4","41"
"LDAPConnectionContext.java:702 org.wso2.carbon.user.core.ldap.LDAPConnectionContext.initializeLdapContext(Hashtable, Control[])","4","42"
"AbstractUserStoreManager.java:1336","20","36"
"BasicAccessAuthenticator.java:164 org.wso2.carbon.core.services.authentication.AuthenticatorHelper.getUserRealm(int, RealmService, RegistryService)","44","26"
"AuthenticatorHelper.java:47","24","27"
"AuthenticatorHelper.java:47 <...> java.lang.ClassLoader.loadClass(String)","20","27"
"AbstractAuthenticator.java:171 org.wso2.carbon.core.services.authentication.AbstractAuthenticator.onSuccessLogin(String, int, String, String, MessageContext)","100","25"
"AbstractAuthenticator.java:231 org.wso2.carbon.core.services.util.CarbonAuthenticationUtil.onSuccessAdminLogin(HttpSession, String, int, String, String)","60","26"
"CarbonAuthenticationUtil.java:91 org.wso2.carbon.core.services.util.CarbonAuthenticationUtil.initializeLoggedInUserRegistry(HttpSession, String, int, String)","40","27"
"CarbonAuthenticationUtil.java:169 <...> java.lang.ClassLoader.loadClass(String)","20","28"
"CarbonAuthenticationUtil.java:151 org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService.getGovernanceSystemRegistry(int)","20","28"
"EmbeddedRegistryService.java:517 org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService.getSystemRegistry(int, String)","20","29"
"EmbeddedRegistryService.java:292 org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService.getUserRegistry(String, int, String)","20","30"
"EmbeddedRegistryService.java:427 org.wso2.carbon.registry.core.session.UserRegistry.<init>(String, int, Registry, RealmService, String)","20","31"
"UserRegistry.java:237 org.wso2.carbon.registry.core.session.UserRegistry.<init>(String, int, Registry, RealmService, String, boolean)","20","32"
"UserRegistry.java:258 java.security.AccessController.doPrivileged(PrivilegedExceptionAction)","20","33"
"AccessController.java (native) org.wso2.carbon.registry.core.session.UserRegistry$2.run()","20","34"
"UserRegistry.java:261 org.wso2.carbon.registry.core.session.UserRegistry.access$100(UserRegistry, String, int, Registry, RealmService, String, boolean)","20","35"
"UserRegistry.java:73 org.wso2.carbon.registry.core.session.UserRegistry.init(String, int, Registry, RealmService, String, boolean)","20","36"
"UserRegistry.java:340 org.wso2.carbon.registry.core.session.UserRegistry.addRootCollection()","20","37"
"UserRegistry.java:391 org.wso2.carbon.registry.core.caching.CacheBackedRegistry.getRegistryContext()","20","38"
"CacheBackedRegistry.java:519 org.wso2.carbon.registry.core.jdbc.EmbeddedRegistry.getRegistryContext()","20","39"
"EmbeddedRegistry.java:470 org.wso2.carbon.registry.core.jdbc.handlers.HandlerLifecycleManager.getRegistryContext(RequestContext)","20","40"
"HandlerLifecycleManager.java:1263 org.wso2.carbon.registry.core.jdbc.handlers.UserDefinedHandlerManager.getRegistryContext(RequestContext)","20","41"
"UserDefinedHandlerManager.java:264 org.wso2.carbon.registry.core.jdbc.handlers.HandlerManager.getRegistryContext(RequestContext)","20","42"
"HandlerManager.java:3187 org.wso2.carbon.registry.core.jdbc.handlers.builtin.MountHandler.getRegistryContext(RequestContext)","20","43"
"MountHandler.java:359 org.wso2.carbon.registry.core.session.UserRegistry.getRegistryContext()","20","44"
"UserRegistry.java:559 org.wso2.carbon.registry.core.jdbc.EmbeddedRegistry.getRegistryContext()","20","45"
"EmbeddedRegistry.java:470 org.wso2.carbon.registry.core.jdbc.handlers.HandlerLifecycleManager.getRegistryContext(RequestContext)","20","46"
"HandlerLifecycleManager.java:1259 org.wso2.carbon.registry.core.jdbc.handlers.HandlerManager.getRegistryContext(RequestContext)","20","47"
"HandlerManager.java:3189 org.wso2.carbon.registry.core.jdbc.handlers.RequestContext.setExecutionStatus(Handler, boolean)","20","48"
"RequestContext.java:874 java.lang.Object.getClass()","20","49"
"CarbonAuthenticationUtil.java:94 <...> java.text.SimpleDateFormat.<init>(String)","20","27"
"AbstractAuthenticator.java:231 <...> java.lang.ClassLoader.loadClass(String)","40","26"
"AbstractAuthenticator.java:102 <...> java.lang.ClassLoader.loadClass(String)","44","25"
"AbstractAuthenticator.java:93 org.wso2.carbon.core.services.authentication.BasicAccessAuthenticator.getUserNameFromRequest(MessageContext)","40","25"
"BasicAccessAuthenticator.java:65 org.wso2.carbon.core.services.authentication.BasicAccessAuthenticator.decodeAuthorizationHeader(String)","40","26"
"BasicAccessAuthenticator.java:141 <...> java.lang.ClassLoader.loadClass(String)","40","27"
"AbstractAuthenticator.java:165 <...> java.lang.ClassLoader.loadClass(String)","24","25"
"AuthenticationHandler.java:159 org.wso2.carbon.server.admin.auth.AuthenticatorServerRegistry.getCarbonAuthenticator(MessageContext)","44","24"
"AuthenticatorServerRegistry.java:98 <...> java.util.Arrays.sort(Object[], Comparator)","44","25"
"<2 calls> TimSort.java:356 org.wso2.carbon.server.admin.auth.AuthenticatorComparator.compare(Object, Object)","44","26"
"AuthenticatorComparator.java:26 org.wso2.carbon.server.admin.auth.AuthenticatorComparator.compare(BackendAuthenticator, BackendAuthenticator)","44","27"
"AuthenticatorComparator.java:30 org.wso2.carbon.core.services.authentication.CookieAuthenticator.getPriority()","44","28"
"CookieAuthenticator.java:168 org.wso2.carbon.core.services.authentication.AbstractAuthenticator.getPriority()","44","29"
"AbstractAuthenticator.java:402 <...> java.lang.ClassLoader.loadClass(String)","44","30"
"<7 calls> Phase.java:340 org.wso2.carbon.server.admin.module.handler.AuthorizationHandler.invoke(MessageContext)","84","21"
"AuthorizationHandler.java:87 org.wso2.carbon.server.admin.module.handler.AuthorizationHandler.doAuthorization(MessageContext, String, String, String, String)","84","22"
"AuthorizationHandler.java:120 org.wso2.carbon.server.admin.module.handler.AuthorizationHandler.isAuthorized(AuthorizationManager, String, String, String)","84","23"
"AuthorizationHandler.java:142 org.wso2.carbon.registry.core.jdbc.realm.RegistryAuthorizationManager.isUserAuthorized(String, String, String)","84","24"
"RegistryAuthorizationManager.java:200 org.wso2.carbon.user.core.authorization.JDBCAuthorizationManager.isUserAuthorized(String, String, String)","84","25"
"JDBCAuthorizationManager.java:201 org.wso2.carbon.user.core.authorization.JDBCAuthorizationManager.callSecure(String, Object[], Class[])","84","26"
"JDBCAuthorizationManager.java:1481 java.security.AccessController.doPrivileged(PrivilegedExceptionAction)","84","27"
"AccessController.java (native) org.wso2.carbon.user.core.authorization.JDBCAuthorizationManager$2.run()","84","28"
"JDBCAuthorizationManager.java:1484 <...> java.lang.reflect.Method.invoke(Object, Object[])","84","29"
"<2 calls> org.wso2.carbon.user.core.authorization.JDBCAuthorizationManager.isUserAuthorized(String, String, String)","84","30"
"JDBCAuthorizationManager.java:240 org.wso2.carbon.user.core.authorization.PermissionTree.updatePermissionTree()","84","31"
"PermissionTree.java:961 org.wso2.carbon.user.core.authorization.PermissionTree.updatePermissionTree(String)","84","32"
"PermissionTree.java:1006 org.wso2.carbon.user.core.authorization.PermissionTree.updatePermissionTreeFromDB()","84","33"
"PermissionTree.java:1120 org.wso2.carbon.user.core.authorization.PermissionTree.getDBConnection()","64","34"
"PermissionTree.java:1209 <...> org.apache.tomcat.jdbc.pool.DataSourceProxy.getConnection()","64","35"
"<5 calls> PooledConnection.java:319 org.h2.Driver.connect(String, Properties)","64","36"
"Driver.java:69 org.h2.jdbc.JdbcConnection.<init>(String, Properties)","64","37"
"JdbcConnection.java:148 org.h2.jdbc.JdbcConnection.<init>(ConnectionInfo, boolean)","64","38"
"JdbcConnection.java:169 org.h2.engine.SessionRemote.connectEmbeddedOrServer(boolean)","64","39"
"SessionRemote.java:336 org.h2.engine.Engine.createSession(ConnectionInfo)","64","40"
"Engine.java:31 org.h2.engine.Engine.createSession(ConnectionInfo)","64","41"
"Engine.java:161 org.h2.engine.Engine.createSessionAndValidate(ConnectionInfo)","64","42"
"Engine.java:178 org.h2.engine.Engine.openSession(ConnectionInfo)","64","43"
"Engine.java:201 org.h2.engine.Engine.openSession(ConnectionInfo, boolean, String)","64","44"
"PermissionTree.java:1130 <...> com.sun.proxy.$Proxy54.executeQuery()","20","34"
"[SQL] SELECT UM_ROLE_NAME, UM_RESOURCE_ID, UM_IS_ALLOWED, UM_ACTION, UM_DOMAIN_NAME FROM UM_PERMISSION, UM_ROLE_PERMISSION, UM_DOMAIN WHERE UM_ROLE_PERMISSION.UM_PERMISSION_ID=UM_PERMISSION.UM_ID AND UM_ROLE_PERMISSION.UM_DOMAIN_ID=UM_DOMAIN.UM_DOMAIN_ID AND UM_PERMISSION.UM_TENANT_ID=? AND UM_ROLE_PERMISSION.UM_TENANT_ID=?","6","35"
"<9 calls> DispatchPhase.java:319 org.wso2.carbon.utils.transport.AbstractTransportListener.getSessionContext(MessageContext)","44","21"
"AbstractTransportListener.java:173 org.wso2.carbon.utils.SessionContextUtil.createSessionContext(MessageContext)","44","22"
"SessionContextUtil.java:45 <...> org.eclipse.equinox.http.servlet.internal.HttpServletRequestAdaptor.getSession(boolean)","44","23"
"TenantContextRewriteValve.java:86 <...> java.lang.ClassLoader.loadClass(String)","40","14"
"AuthenticationValve.java:78 <...> java.lang.ClassLoader.loadClass(String)","20","12"
"CarbonContextCreatorValve.java:56 org.wso2.carbon.tomcat.ext.valves.CarbonContextCreatorValve.initCarbonContext(Request)","24","6"
"CarbonContextCreatorValve.java:96 <...> java.lang.ClassLoader.loadClass(String)","24","7"
"<6 calls> Executors.java:511 org.wso2.carbon.core.deployment.CarbonDeploymentSchedulerTask.run()","416","3"
"CarbonDeploymentSchedulerTask.java:138 org.wso2.carbon.core.deployment.CarbonDeploymentSchedulerTask.runAxisDeployment()","416","4"
"CarbonDeploymentSchedulerTask.java:93 <...> org.apache.axis2.deployment.scheduler.SchedulerTask.run()","416","5"
"<3 calls> FutureTask.java:266 org.wso2.carbon.humantask.core.scheduler.SimpleScheduler$1.call()","331","3"
"SimpleScheduler.java:146 org.wso2.carbon.humantask.core.scheduler.SimpleScheduler$1.call()","331","4"
"SimpleScheduler.java:149 org.wso2.carbon.humantask.core.scheduler.SimpleScheduler$LoadImmediateTask.run()","331","5"
"SimpleScheduler.java:297 org.wso2.carbon.humantask.core.scheduler.SimpleScheduler.doLoadImmediate()","331","6"
"SimpleScheduler.java:342 org.wso2.carbon.humantask.core.scheduler.SimpleScheduler.execTransaction(Callable)","331","7"
"SimpleScheduler.java:828 org.wso2.carbon.humantask.core.scheduler.SimpleScheduler.execTransaction(Callable, int)","331","8"
"<37 calls> org.h2.jdbc.JdbcConnection.prepareStatement(String, int, int)","128","3"
"JdbcConnection.java:739 <...> com.yourkit.probes.builtin.Databases$Connection_prepareStatement_Probe.onExit(long, Object, String, Object, Throwable)","128","4"
"<13 calls> a:17 com.yourkit.af.at.<init>(Class, String, Class[])","24","5"
"a:60 com.yourkit.af.at.getDeclaredMethod(Class, String, Class[])","24","6"
"a:197 <...> java.lang.Class.getDeclaredMethod(String, Class[])","24","7"
"<...> org.apache.geronimo.transaction.manager.TransactionTimer$CurrentTime.run()","64620","2"
"org.wso2.carbon.registry.core.utils.LogWriter.run()","64620","2"
"<...> java.util.TimerThread.run()","220","2"
"<7 calls> PooledConnection.java:388 org.h2.jdbc.JdbcConnection.close()","220","3"
"JdbcConnection.java:456 org.h2.engine.Session.close()","220","4"
"Session.java:904 org.h2.engine.Database.removeSession(Session)","220","5"
"Database.java:1381 org.h2.engine.Database.close(boolean)","220","6"
"Database.java:1417 org.h2.engine.Database.closeImpl(boolean)","220","7"
"Database.java:1509 org.h2.engine.Database.closeOpenFilesAndUnlock(boolean)","200","8"
"Database.java:1604 org.h2.mvstore.db.MVTableEngine$Store.compactFile(long)","200","9"
"MVTableEngine.java:360 org.h2.mvstore.MVStore.compact(int, int)","148","10"
"MVStore.java:2041 org.h2.mvstore.MVStore.compactRewrite(Iterable)","148","11"
"MVStore.java:2164 org.h2.mvstore.MVMap.rewrite(Set)","88","12"
"MVMap.java:590 org.h2.mvstore.MVMap.rewrite(Page, Set)","88","13"
"MVMap.java:615 org.h2.mvstore.MVMap.rewrite(Page, Set)","48","14"
"MVMap.java:615 org.h2.mvstore.Page$NonLeaf.getChildPage(int)","28","15"
"MVMap.java:601 org.h2.mvstore.MVMap.rewritePage(Page)","20","15"
"MVMap.java:615 org.h2.mvstore.Page$NonLeaf.getChildPage(int)","40","14"
"MVStore.java:2169 org.h2.mvstore.MVStore.commit()","60","12"
"MVTableEngine.java:362 org.h2.mvstore.MVStore.compactMoveChunks(int, long)","52","10"
"Database.java:1471 org.h2.engine.Database.removeOrphanedLobs()","20","8"
"Database.java:1544 org.h2.store.LobStorageMap.removeAllForTable(int)","20","9"
"LobStorageMap.java:309 org.h2.store.LobStorageMap.removeAllForTable(int)","20","10"
"LobStorageMap.java:306 org.h2.store.LobStorageMap.removeLob(int, long)","20","11"
"LobStorageMap.java:326 org.h2.mvstore.MVMap.remove(Object)","20","12"
"MVMap.java:446 org.h2.mvstore.MVMap.operate(Object, Object, MVMap$DecisionMaker)","20","13"
"<...> java.lang.ref.Finalizer$FinalizerThread.run()","4","2"
"org.h2.mvstore.MVStore$BackgroundWriterThread.run()","4","2"
"MVStore.java:3123 org.h2.mvstore.MVStore.writeInBackground()","4","3"
"MVStore.java:2763 org.h2.mvstore.MVStore.tryCommit()","4","4"
"MVStore.java:1135 org.h2.mvstore.MVStore.store()","4","5"
"MVStore.java:1176 org.h2.mvstore.MVStore.hasUnsavedChangesInternal()","4","6"
"MVStore.java:1803 org.h2.mvstore.MVStore.hasUnsavedChanges()","4","7"
